dbn,beds
09X449,320900010449
25Q200,342500010200
84K125,331400861022
02M533,310200011533
25Q209,342500010209
27Q334,342700011334
31R027,353100010027
15K448,331500010448
12X066,321200010066
84Q387,343000861152
79X985,
28Q054,342800010054
24Q102,342400010102
27Q650,342700011650
29Q036,342900010036
03M415,310300011415
25Q244,342500010244
04M610,310400011610
09X011,320900010011
25Q169,342500010169
03M492,310300011492
25Q194,342500010194
27Q097,342700010097
09X263,320900011263
10X024,321000010024
10X344,321000010344
31R004,353100010004
22K381,332200010381
13K313,331300010313
29Q289,342900010289
02M893,
14K488,331400011488
09X329,320900011329
29Q356,342900010356
14K031,331400010031
12X536,321200010536
13K044,331300010044
30Q575,343000011575
75M138,307500011138
22K194,332200010194
10X237,321000011237
84K538,333200860906
02M580,310200011580
01M064,310100010064
10X524,321000011524
21K559,332100011559
09X215,320900010215
75K373,307500013373
17K092,331700010092
13K616,331300011616
20K227,332000010227
19K583,331900011583
01M315,310100010315
03M185,310300010185
16K628,331600010628
84K937,331500861156
17K340,331700010340
06M513,310600010513
15K024,331500010024
11X418,321100011418
10X045,321000010045
23K165,332300010165
21K199,332100010199
02M392,310200011392
15K038,331500010038
27Q905,
84Q304,343000860932
10X315,321000010315
18K115,331800010115
11X108,321100010108
24Q061,342400010061
20K686,332000010686
84X422,321100860917
32K274,333200010274
79M921,
75M079,307500011079
19K764,331900011764
27Q183,342700010183
21K303,332100010303
84M265,310600861073
08X377,320800011377
18K233,331800010233
19K507,331900011507
10X037,321000010037
32K086,333200010086
84X255,321100860859
06M178,310600010178
84X597,321200861107
25Q020,342500010020
10X310,321000010310
18K637,331800011637
21K121,332100010121
15K442,331500010442
27Q362,342700010362
84X491,320700860957
84Q339,342900861078
31R052,353100010052
06M278,310600010278
09X555,320900010555
09X163,320900010163
84K928,331500861162
10X433,321000011433
06M115,310600010115
79K993,
02M655,310200011655
26Q031,342600010031
24Q330,342400010330
16K681,331600010681
84M263,310200861104
84K759,331800861033
21K840,
25Q525,342500011525
07X500,320700011500
30Q234,343000010234
29Q176,342900010176
02M432,310200011432
02M300,310200011300
30Q450,343000011450
11X089,321100010089
02M042,310200010042
29Q295,342900010295
31R035,353100010035
10X447,321000010447
08X071,320800010071
31R047,353100011047
06M348,310600011348
13K674,331300011674
84K362,331500860878
84R077,353100861175
03M860,310300011860
15K423,331500011423
07X334,320700011334
25Q120,342500010120
26Q159,342600010159
