mean_scale_score,total_enrollment,asian_pct,black_pct,hispanic_pct,white_pct,swd_pct,ell_pct,poverty_pct,charter,eni_pct,district
613.5890503,1077,0.44,0.014,0.29,0.243,0.162,0.288,0.864,0,0.831,20
588.140625,370,0.049,0.805,0.116,0.011,0.27,0.076,0.919,0,0.839,17
610.6533203,386,0.023,0.749,0.215,0.008,0.192,0.028,0.769,0,0.809,23
596.7565308,907,0.012,0.007,0.972,0.004,0.204,0.227,0.836,0,0.856,30
611,508,0.407,0.008,0.232,0.341,0.238,0.238,0.817,0,0.672,20
588.1643677,472,0.008,0.364,0.608,0.013,0.267,0.367,0.96,0,0.96,9
603,241,0.004,0.896,0.054,0,0.124,0.008,0.755,1,0.683,84
592.6551514,319,0.009,0.589,0.31,0.069,0.194,0.044,0.803,0,0.766,16
608.6206665,901,0.064,0.138,0.128,0.586,0.119,0.028,0.208,0,0.192,13
605.4196777,1444,0.229,0.048,0.262,0.445,0.215,0.046,0.63,0,0.5,31
590.6315918,609,0.02,0.179,0.783,0.011,0.261,0.122,0.946,0,0.925,10
591.0425415,614,0.225,0.039,0.485,0.239,0.21,0.35,0.86,0,0.891,21
606.1710815,623,0.053,0.014,0.387,0.53,0.238,0.021,0.478,0,0.304,27
599.6732788,1330,0.094,0.206,0.256,0.402,0.295,0.014,0.459,0,0.452,31
609.760376,1293,0.678,0.005,0.203,0.106,0.119,0.23,0.859,0,0.792,20
596.6428833,223,0.031,0.184,0.713,0.054,0.287,0.027,0.865,0,0.895,1
590.1517944,477,0.017,0.291,0.681,0.006,0.273,0.289,0.933,0,0.96,9
611.588562,1000,0.234,0.043,0.428,0.255,0.118,0.144,0.671,0,0.623,30
592.4714355,515,0.023,0.786,0.134,0.047,0.235,0.136,0.788,0,0.808,18
606.166687,297,0.02,0.811,0.141,0.003,0.215,0.044,0.845,0,0.778,17
592.9163208,494,0.022,0.289,0.68,0.004,0.261,0.221,0.96,0,0.931,9
600,752,0.021,0.415,0.443,0.096,0.379,0.02,0.745,1,0.698,84
610.4495239,385,0.431,0.101,0.158,0.27,0.294,0.06,0.553,0,0.546,2
597.583313,369,0.005,0.214,0.688,0.092,0.266,0.092,0.864,0,0.849,14
618,316,0.015822784975171,0.503164529800415,0.433544307947159,0.0189873408526182,0.107594937086105,0.209,0.889,1,0.877,84
597.9912109,1230,0.057,0.164,0.715,0.044,0.216,0.162,0.823,0,0.866,10
594.0859985,597,0.01,0.039,0.918,0.025,0.216,0.219,0.908,0,0.851,6
593.7977295,635,0.002,0.277,0.655,0.003,0.208,0.079,0.96,0,0.917,7
592.1790161,862,0.021,0.494,0.452,0.028,0.196,0.116,0.96,0,0.907,11
597.7107544,875,0.514,0.105,0.326,0.04,0.162,0.137,0.821,0,0.879,19
589.6073608,885,0.01,0.14,0.811,0.014,0.221,0.337,0.88,0,0.938,12
619.460022,560,0.164,0.039,0.159,0.532,0.22,0.025,0.177,0,0.168,2
571.3636475,112,0.036,0.652,0.286,0.009,0.348,0.071,0.884,0,0.9,13
587.9017944,649,0.011,0.732,0.202,0.035,0.208,0.206,0.835,0,0.859,17
589.5048218,231,0.017,0.303,0.662,0,0.333,0.156,0.896,0,0.93,7
614.1645508,611,0.085,0.047,0.182,0.592,0.195,0.023,0.221,0,0.18,3
582.7307739,492,0.045,0.774,0.104,0.004,0.234,0.081,0.726,0,0.612,29
605,789,0.009,0.816,0.148,0.015,0.148,0.028,0.798,1,0.728,84
600.0317383,427,0.002,0.176,0.794,0.009,0.169,0.211,0.939,0,0.88,9
594.1546631,606,0.005,0.294,0.688,0.003,0.284,0.127,0.946,0,0.909,9
605.1978149,866,0.073,0.002,0.165,0.745,0.234,0.037,0.376,0,0.283,31
591,318,0.069,0.267,0.119,0.45,0.264,0.028,0.283,1,0.358,84
573.1627808,193,0.01,0.565,0.352,0.031,0.301,0.155,0.96,0,0.96,5
612.2363892,635,0.633,0.025,0.148,0.176,0.143,0.065,0.38,0,0.269,26
615.755188,1381,0.06,0.028,0.062,0.767,0.144,0.022,0.088,0,0.07,15
613.1730957,539,0.017,0.801,0.113,0.059,0.213,0.082,0.868,0,0.807,17
603,576,0.191,0.057,0.646,0.09,0.179,0.075,0.672,1,0.572,84
603.0990601,1916,0.531,0.051,0.355,0.033,0.16,0.101,0.833,0,0.712,27
594.5714111,590,0,0.475,0.519,0.007,0.222,0.095,0.96,0,0.96,9
601.5109253,934,0.059,0.094,0.81,0.009,0.255,0.105,0.81,0,0.848,19
601.02771,581,0.05,0.059,0.664,0.203,0.234,0.074,0.683,0,0.527,8
609,1144,0.004,0.801,0.17,0.01,0.174,0.031,0.857,1,0.844,84
585,484,0.041,0.595,0.271,0.056,0.345,0.068,0.924,0,0.892,27
617.8764038,559,0.106,0.193,0.147,0.497,0.15,0.066,0.454,0,0.35,22
598.111084,317,0.009,0.931,0.041,0.009,0.151,0.028,0.782,0,0.593,18
602.3189697,623,0.136,0.575,0.238,0.037,0.124,0.016,0.621,0,0.521,11
610,331,0.0090634441003203,0.504531741142273,0.483383685350418,0,0.0634441077709198,0.045,0.798,1,0.787,84
592.0800171,102,0.01,0.716,0.235,0.029,0.392,0.078,0.922,0,0.922,23
609.3214111,712,0.643,0.087,0.171,0.066,0.221,0.147,0.77,0,0.757,2
612.1629028,1455,0.099,0.017,0.124,0.737,0.224,0.018,0.415,0,0.287,31
626,762,0.017,0.672,0.273,0.02,0.182,0.018,0.778,1,0.705,84
583.607605,243,0.004,0.374,0.601,0,0.333,0.156,0.942,0,0.96,9
604.8103638,472,0.023,0.839,0.083,0.015,0.233,0.025,0.763,0,0.642,28
607.8599854,450,0.109,0.093,0.291,0.489,0.244,0.022,0.464,0,0.379,31
616.2363892,773,0.088,0.27,0.573,0.039,0.212,0.027,0.712,0,0.776,4
608.0281982,586,0.333,0.077,0.404,0.172,0.143,0.036,0.804,0,0.699,30
615,320,0.034,0.628,0.3,0.022,0.072,0.025,0.813,1,0.592,84
610.8469238,682,0.434,0.012,0.411,0.132,0.189,0.128,0.827,0,0.881,20
584.1764526,179,0.022,0.709,0.24,0.017,0.369,0.061,0.916,0,0.883,16
589.7042236,426,0.009,0.256,0.714,0.016,0.3,0.265,0.948,0,0.96,9
588.7357178,484,0.041,0.595,0.271,0.056,0.345,0.068,0.924,0,0.892,27
609.2687378,483,0.76,0.081,0.147,0.012,0.236,0.317,0.932,0,0.909,2
613,1172,0.009,0.795,0.127,0.014,0.125,0.033,0.776,1,0.737,84
610.4741211,385,0.431,0.101,0.158,0.27,0.294,0.06,0.553,0,0.546,2
607.1166382,548,0.119,0.071,0.095,0.692,0.144,0.068,0.376,0,0.334,26
