dbn,ay,test_year,grade,category,number_tested,mean_scale_score,level_1_n,level_1_pct,level_2_n,level_2_pct,level_3_n,level_3_pct,level_4_n,level_4_pct,level_3_4_n,level_3_4_pct,year,charter
84X345,2012,2013,6,All Students,77,303.0,16.0,20.8,43.0,55.8,10.0,13.0,8.0,10.4,18.0,23.4,2013,True
84X345,2013,2014,6,All Students,78,293.0,24.0,30.8,38.0,48.7,13.0,16.7,3.0,3.8,16.0,20.5,2014,True
84X345,2014,2015,6,All Students,73,289.0,26.0,35.6,36.0,49.3,11.0,15.1,0.0,0.0,11.0,15.1,2015,True
84X345,2015,2016,6,All Students,74,293.0,26.0,35.1,30.0,40.5,8.0,10.8,10.0,13.5,18.0,24.3,2016,True
84X345,2016,2017,6,All Students,73,293.0,25.0,34.2,29.0,39.7,12.0,16.4,7.0,9.6,19.0,26.0,2017,True
84X345,2017,2018,6,All Students,72,602.0,16.0,22.2,21.0,29.2,26.0,36.1,9.0,12.5,35.0,48.6,2018,True
84X345,2018,2019,6,All Students,75,593.0,34.0,45.3,21.0,28.0,15.0,20.0,5.0,6.7,20.0,26.7,2019,True
84X345,2012,2013,7,All Students,75,284.0,47.0,62.7,20.0,26.7,8.0,10.7,0.0,0.0,8.0,10.7,2013,True
84X345,2013,2014,7,All Students,76,304.0,21.0,27.6,33.0,43.4,19.0,25.0,3.0,3.9,22.0,28.9,2014,True
84X345,2014,2015,7,All Students,82,297.0,28.0,34.1,34.0,41.5,20.0,24.4,0.0,0.0,20.0,24.4,2015,True
84X345,2015,2016,7,All Students,69,292.0,33.0,47.8,25.0,36.2,11.0,15.9,0.0,0.0,11.0,15.9,2016,True
84X345,2016,2017,7,All Students,77,302.0,27.0,35.1,23.0,29.9,23.0,29.9,4.0,5.2,27.0,35.1,2017,True
84X345,2017,2018,7,All Students,74,603.0,12.0,16.2,30.0,40.5,19.0,25.7,13.0,17.6,32.0,43.2,2018,True
84X345,2018,2019,7,All Students,77,601.0,20.0,26.0,24.0,31.2,20.0,26.0,13.0,16.9,33.0,42.9,2019,True
84X345,2012,2013,8,All Students,74,296.0,23.0,31.1,36.0,48.6,14.0,18.9,1.0,1.4,15.0,20.3,2013,True
84X345,2013,2014,8,All Students,76,298.0,26.0,34.2,29.0,38.2,15.0,19.7,6.0,7.9,21.0,27.6,2014,True
84X345,2014,2015,8,All Students,74,307.0,16.0,21.6,34.0,45.9,15.0,20.3,9.0,12.2,24.0,32.4,2015,True
84X345,2012,2013,All Grades,All Students,454,290.0,193.0,42.5,190.0,41.9,58.0,12.8,13.0,2.9,71.0,15.6,2013,True
